syllables_in_words,presence
SVSOO,TRUE
OOSVSO,TRUE
OOOVSO,TRUE
OOVS,TRUE
OSSVO,TRUE
OVSO,TRUE
SSVSO,TRUE
SVO,TRUE
OOOVSS,TRUE
SVSS,TRUE
OSSVS,TRUE
OOVO,TRUE
OOVOO,TRUE
SSVS,TRUE
SVOOO,TRUE
OOVSOO,TRUE
OSVSS,TRUE
OOOVS,TRUE
OSVOOO,TRUE
OOVOOO,TRUE
OSVO,TRUE
OVSSO,TRUE
OOOVOOO,TRUE
OSSVSOO,TRUE
OVSOO,TRUE
OOVSS,TRUE
SSVOO,TRUE
OOSVOO,TRUE
OSVOO,TRUE
OOVSO,TRUE
OOVSSO,TRUE
OSSVSO,TRUE
OVOOO,TRUE
OSVSO,TRUE
OOOVOO,TRUE
OOSVO,TRUE
OVOO,TRUE
OOSVS,TRUE
OVSS,TRUE
SSVSOO,TRUE
OSVSSO,TRUE
SVOO,TRUE
OSSVSS,TRUE
OOSVSOO,TRUE
OSVS,TRUE
OOOVO,TRUE
SSVOOO,TRUE
OOSVOOO,TRUE
SVS,TRUE
OOSVSS,TRUE
OOOVSOO,TRUE
OVS,TRUE
SVSSO,TRUE
SSVSS,TRUE
SSVO,TRUE
OSSVOO,TRUE
SVSO,TRUE
OVO,TRUE
OSVSOO,TRUE
SSVSSO,FALSE
OSSVOOO,FALSE
OOSVSSO,FALSE
OOOVSSO,FALSE
OSSVSSO,FALSE
